,,,General Data,,,,,,,,,Time to Reach,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
2,16,10,0,5,0,11,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,16,10,3,0,0,3,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.01,#N/A,#N/A,#N/A,3.23,#N/A,#N/A,#N/A,5.51,8.96
4,16,10,8,0,0,0,,,3.15,#N/A,#N/A,3.91,#N/A,#N/A,2.82,#N/A,#N/A,#N/A,6.27,#N/A,4.24,6.27,4.24,3.05,7.15
5,16,10,15,0,0,0,,,5.11,#N/A,4.17,3.45,3.61,3.29,4.33,3.74,3.16,3.16,2.88,4.8,4.65,5.59,4.17,3.03,4.32
6,16,6.75,16,0,0,0,,,3.46,3.16,2.84,3.64,4.5,3.46,4.5,4.15,3.16,3.16,4.5,6.56,3.3,5.01,3,4.33,3.92
7,16,10,15,0,0,1,,,3.06,4.47,5.83,4.81,4.47,3.21,4.01,3.06,3.52,5.67,3.37,#N/A,3.06,4.63,4.63,2.92,4.42
8,16,4.83,16,0,0,0,,,3.46,3.63,4.13,4.66,3.11,3.79,3.29,3.46,4.28,3.29,3.29,4.13,3.29,2.82,2.98,3.79,3.59
9,16,4.66,16,0,0,0,,,2.9,3.38,3.71,3.38,4.45,3.88,3.38,3.54,3.38,3.54,3.38,3.71,3.06,2.9,3.38,3.71,3.48
10,16,4.88,16,0,0,0,,,3.78,3.78,4.12,4.69,4.12,4.12,3.95,3.26,2.94,3.42,3.11,3.11,2.94,3.6,4.69,3.11,3.67
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,2,9,1,9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.28,#N/A,4.08,#N/A,8.09
2,16,10,4,7,0,14,,,3.43,#N/A,#N/A,#N/A,#N/A,#N/A,8.92,#N/A,#N/A,4.76,#N/A,3.68,#N/A,#N/A,#N/A,#N/A,7.89
3,16,10,13,0,0,2,,,#N/A,5.93,3.07,3.71,#N/A,#N/A,3.85,4.68,3.47,2.95,5.5,3.6,4.55,4.41,3.98,3.33,5.2
4,16,4.22,16,0,0,0,,,4.04,2.69,3.68,3.01,3.18,3.52,3.35,3.68,2.84,3.18,3.35,3.01,3.18,3.52,3.52,3.18,3.31
5,16,5.72,16,0,0,0,,,3.4,4.89,3.07,3.23,3.23,2.92,3.4,4.21,3.07,3.9,3.07,3.07,3.23,2.92,3.56,5.56,3.55
6,16,4.33,16,0,0,0,,,3.3,2.96,3.63,3.98,3.3,2.96,3.3,2.96,4.16,3.63,3.13,4.16,3.13,2.8,3.13,3.13,3.35
7,16,4.6,16,0,0,0,,,2.98,3.55,3.18,3.35,3.18,3.92,4.41,4.07,2.79,3.35,3.18,3.55,4.24,3.35,2.98,2.79,3.43
8,16,4.39,16,0,0,0,,,4.22,3.19,3.01,3.19,3.19,3.35,3.01,3.51,3.19,3.51,3.35,3.35,3.35,3.19,3.35,3.35,3.33
9,16,5.76,16,0,0,0,,,5.6,5.09,3.05,3.37,3.05,3.05,3.21,3.05,3.21,4.04,2.89,4.04,3.21,3.37,3.89,3.21,3.58
10,16,3.73,16,0,0,0,,,3.09,3.09,2.93,3.41,3.25,3.25,3.25,3.41,2.93,3.58,3.25,3.41,3.41,3.25,3.25,3.41,3.26
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,3,8,1,8,,,5.5,#N/A,#N/A,4.44,5.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.01
2,16,10,0,5,0,12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,16,10,9,0,0,1,,,9.68,2.9,9.44,3.48,#N/A,#N/A,#N/A,8.81,5.39,3.56,4.63,#N/A,#N/A,#N/A,#N/A,7.92,7.88
4,16,5.76,16,0,0,0,,,4.16,3.34,3.84,4.16,3.67,3.01,3.34,3.01,3.18,3.51,3.01,3.34,4.33,3.18,5.61,4.16,3.68
5,16,3.76,16,0,0,0,,,3.58,3.58,3.08,2.76,3.25,3.08,3.08,3.08,3.08,3.08,3.58,3.08,3.08,3.41,2.92,3.25,3.19
6,16,4.83,16,0,0,0,,,3.27,3.79,3.44,3.27,3.13,3.44,4.65,3.96,3.13,3.79,2.97,2.97,2.97,3.44,2.97,2.8,3.37
7,16,4.53,16,0,0,0,,,3.32,3.48,4.34,3.17,3.66,3.32,3.66,3.17,3.17,3.17,3.17,3.83,3.32,3.99,3.17,3.66,3.48
8,16,5.48,16,0,0,0,,,3.01,3.18,3.01,3.18,3.36,3.36,3.36,3.36,3.18,3.36,4.26,3.18,3.18,5.3,3.18,3.55,3.44
9,16,4.31,16,0,0,0,,,3.13,3.27,3.6,3.13,3.76,3.44,2.97,3.13,2.97,3.76,3.13,3.13,2.97,3.13,4.13,3.27,3.31
10,16,5.71,16,0,0,0,,,3.3,4.5,3.3,3.3,3.48,3.13,2.97,4.16,3.48,3.13,4.33,5.38,3.48,2.97,2.97,3.13,3.56
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,3,8,1,8,,,#N/A,5.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,5.52,#N/A,#N/A,8.06
