,,,General Data,,,,,,,,,Time to Reach,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,10,1,6,1,6,,,#N/A,#N/A,#N/A,#N/A,2.79,#N/A,#N/A,#N/A,#N/A,#N/A,8.23
2,10,10,5,1,0,7,,,9.96,#N/A,2.83,#N/A,#N/A,6.12,9.56,#N/A,8.82,#N/A,8.61
3,10,10,9,0,0,7,,,#N/A,3.85,3.62,3.79,2.94,8.12,4.68,3.17,3.79,3.62,4.76
4,10,10,9,0,0,9,,,#N/A,3.93,3.36,3.81,6.95,4.79,3.01,4,3.24,4,4.71
5,10,7.71,10,0,0,5,,,7.37,3.27,7.51,5.79,7.65,4.42,3.77,4.14,4.14,4.6,5.27
6,10,4.51,10,0,0,9,,,4.01,3.48,3.48,3.28,4.44,3.94,3.81,3.54,4.29,3.35,3.76
7,10,6.57,10,0,0,0,,,6.15,4.54,5.8,2.99,6.5,4.87,4.42,5.13,4.42,5.31,5.01
8,10,6.54,10,0,0,0,,,3.28,6.47,2.93,3.69,5.41,3.91,2.87,2.93,2.81,3.49,3.78
9,10,5.44,10,0,0,0,,,3.67,3.52,4.37,3.67,3.11,3.05,5.33,3.05,3.67,3.18,3.66
10,10,4.47,10,0,0,0,,,2.96,3.68,3.02,3.61,3.02,3.9,3.41,4.4,3.15,3.08,3.42
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,10,1,7,1,7,,,#N/A,#N/A,3.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.95
2,10,10,2,3,0,9,,,#N/A,#N/A,#N/A,#N/A,#N/A,7.68,#N/A,8.27,#N/A,#N/A,9.46
3,10,10,9,0,0,1,,,9.87,4.08,7.28,7.03,5.55,3.41,4.19,3.11,3.63,#N/A,5.82
